MASKED_STUDENT_ID,CUM_GPA
MQJBEKW9,2.0
SOCASLII,1.93
LZ8CWYSE,1.83
BVCHHG3V,1.58
GQK5IIGW,0.14
VDLJLGF8,1.7
KJBINPNP,2.0
RUP1WYLI,1.92
8L5HT89O,1.94
ITTJGRUD,0.0
M3ISJA8I,1.9
KRQWBUPZ,1.5
PQJVLDCW,1.64
REW3RB3V,2.0
LLGEIFSW,1.9
GJJFXMLG,1.9
L8NHYCDG,1.86
JS9YXBHS,1.58
RPNSMFT6,1.63
VZH86ZGI,1.97
AD7MZ9U1,0.0
PYFTGOJZ,2.0
ULXC8LLS,1.75
K2YPLEQE,1.96
VSCBYJO6,2.0
ZIEJGBW9,1.8
5LG3VNDO,2.0
45DJHLLD,1.93
JIHBKKOT,1.57
NPIORWBV,1.8
Z1KGESMH,1.6
8RFJU1VI,2.0
QDDIVOID,1.0
LEHWEKLL,2.0
U9NUKXH8,1.94
JVZEWDEL,1.5
ARTEXEGV,2.0
KWIK1DMF,1.25
OFXTVNFQ,0.0
VWFPFG5U,1.75
1R1VFO5T,1.91
OYCEZMYN,1.76
7OKWFDC2,2.0
HCXQKVGH,1.57
T5HI88UE,1.82
MYHTCZ7X,1.92
KLLEHWTY,2.0
TFXBEK8Z,1.83
TPSPIWS4,1.63
TDCPM4S6,1.81
WSKX3CQR,1.06
WKGCTDF9,1.86
P7LY7W7A,1.32
GKSMSLJX,1.5
J5J7SJON,1.47
MLGV6BFL,1.5
EC6RADG2,1.67
ZZZ3UBCF,1.93
7AJJ5G4C,1.93
EQY7EK5G,1.18
CTXIK1BM,1.77
LFEUJFF5,1.61
ANVJRTHT,1.68
F9DBBZSQ,0.0
QOVJNUUL,1.82
82NFRDPW,1.5
XWYTSXNL,1.46
CFU8HONN,1.8
1LU6BTRB,1.76
KSCL3AMB,1.94
OSCHXMVJ,1.83
FAVIWZIX,1.94
FBMTEP6C,1.89
1ZUAKPTC,1.85
PMO9PJKW,1.51
UWPLZBPH,1.67
RQXDJHQC,0.0
XAAZFOTR,1.83
PBC7ADUD,1.92
TNUD8EP7,1.58
TMLNEWEN,1.09
DBRPZHO1,1.94
TTZ2SSI9,1.83
8ZA9IFMD,1.53
WU9NYWR5,1.8
RFQYPX8P,1.94
QCBQPPBQ,1.77
XOQS9LST,1.89
NUDVDDYZ,1.83
RPO1BQLK,0.75
ATTVKBHI,1.84
BWZOJX9E,1.93
RQFSXE5Y,1.94
EORUKDAJ,1.82
T2XQMSCZ,1.97
LYYZ8CL4,1.97
2O9YUPYG,2.0
CLXXTJSU,1.63
M7XNNJO5,1.95
I5LDIGOI,1.84
QRTSNCMO,1.69
G6AXZFYT,1.88
ZPEX2JPO,1.9
XESMKOJL,1.17
NVKJN69I,1.3
WZ83RWBY,1.81
XCSNQO9N,1.33
XDP3BUGL,1.7
V15OY8EL,1.6
DGNMDXRA,1.94
XDNCI1KD,1.8
K8NNEA2I,1.67
1TUGJRBF,2.0
IQ3KMA3D,0.33
MCR1OSUW,1.5
TQJ1OUTI,2.0
L7ETETKY,1.88
D1HCFJUI,1.33
QJMGK1FN,1.8
ENACKAWB,1.88
UGG3DJCJ,1.75
EVIEBM31,0.38
LUCLWGUC,1.57
J6BGIE4H,1.88
JD847CTC,1.33
XCBTDJ75,2.0
6OFBCAHD,0.0
OCN3Y54M,2.0
77XQHKWV,0.0
SMRLOITY,1.88
XOEHHXKM,1.9
D3RG8U7I,1.25
NTTJAINL,1.63
X6JW795L,2.0
QCKYZ93I,1.81
6FEDPQQ1,0.2
ROSDGUSM,1.95
E1QSNCTF,1.5
NKIRRUPA,2.0
VSK9CGWQ,1.0
ASLWUMBT,1.25
XTSGCGSB,2.0
YNKV84XW,1.72
DVW15LZ5,1.5
QV962CBO,1.97
U6LHQMJM,1.88
NILZGD4F,1.98
