MASKED_STUDENT_ID,CUM_GPA
EDAF9ATJ,1.48
F8VBAJYE,1.66
L5GJFE7C,1.98
L8PYJTH3,1.7
4YB8FNOJ,1.89
SAZT4VXZ,2.0
4NIR3L5N,1.87
L1DZQE4G,1.73
QQQIX1EU,1.98
FAP4NNJG,1.95
SFKQ2GFZ,1.9
AXSUXKDE,1.61
D7DXCGLA,1.5
1LM6WCGC,1.5
KOXY125T,1.88
ANJVSBKC,2.0
OPDBSMN5,1.82
XCOOBMVY,1.89
2CXYBDJ9,1.78
8PJSPJOU,1.09
LZKH9INP,1.78
YLNKD7HC,2.0
XO1I2QGF,1.94
4SUEK8ZW,1.35
PR2TYCIR,1.83
PGJ5MVWC,1.8
B3OAXKMP,1.8
8XZH9KPQ,1.8
SZWJ66NI,2.0
UJXLRJF6,1.38
XCSNQO9N,1.5
UPJSJTWU,1.67
HVWIJXCM,1.0
S4YL5TT3,2.0
RUP1WYLI,1.95
V15OY8EL,1.72
T7MK6HKI,2.0
ZNV7ZTPN,1.92
YIOL8IGU,1.73
JVZEWDEL,2.0
GOYR6FCU,1.75
KWIK1DMF,1.0
VHFBB2ZK,1.92
GQYV7ABX,1.96
E5G2XNKV,1.95
IK3SKSVI,1.76
XHURVSGJ,1.8
VTGQA76R,2.0
ZCLNQX9L,1.75
KYL3R2NF,1.5
5GUQL2JK,1.88
I6JBA7FK,2.0
TRDEEIHS,1.88
WBVBH54U,1.8
E35VYO2C,1.97
OLVTSSNQ,2.0
NLBXTRNU,1.83
CUKYDZMS,1.92
QIYUHPP1,0.0
BISXKVSL,0.63
MU2QHJX5,0.5
5HJ4DP3J,1.18
FYTVM56P,1.25
BZRYLJUE,1.1
QE2O2VOI,1.93
6ECR5AXS,1.88
E7JX8Y79,1.75
QDDIVOID,1.81
KWNTQGNE,1.73
BHPROAU6,0.0
GQBYB7HG,2.0
6TOEHO8P,1.91
4IMLNN2N,1.27
M7ZDJ2BR,2.0
7GFNEXKN,2.0
X6JW795L,2.0
B6NTZQE8,2.0
Y3EGLB2U,1.61
R2QQMP1V,1.89
F44XACZA,1.94
ARDCSJTD,1.96
LYDHOERC,1.62
ETFG2U5Q,1.78
H4IR13M6,1.72
ASHLJPIR,1.38
1PXUJIOD,1.98
LRDLLMVN,1.91
64HI282G,1.91
XI3NFOGL,1.75
MQLTEWLI,1.95
V2QRUD3L,1.74
M9JSOCPH,1.5
LIPIDP2D,1.69
YCY4U5JX,1.68
IU2TQDSD,1.87
F7MD4BIE,1.68
OCY3C5M5,2.0
5UINTZK2,1.79
